tier,starting_capital,risk_pct,breakdown_type,key,trades,win_rate,net_pnl
"Rs 1,00,000 / 6% risk (shipped)",100000.0,6.0,index,BANKEX,86,64.0,663524.01
"Rs 1,00,000 / 6% risk (shipped)",100000.0,6.0,index,BANKNIFTY,45,73.3,686778.09
"Rs 1,00,000 / 6% risk (shipped)",100000.0,6.0,index,FINNIFTY,58,77.6,809683.37
"Rs 1,00,000 / 6% risk (shipped)",100000.0,6.0,index,NIFTY,282,75.9,5328799.76
"Rs 1,00,000 / 6% risk (shipped)",100000.0,6.0,index,SENSEX,221,67.9,3157811.26
"Rs 1,00,000 / 6% risk (shipped)",100000.0,6.0,protocol,ALPHA,527,71.9,8524922.03
"Rs 1,00,000 / 6% risk (shipped)",100000.0,6.0,protocol,BETA,75,74.7,971482.58
"Rs 1,00,000 / 6% risk (shipped)",100000.0,6.0,protocol,GAMMA,90,68.9,1150191.89
"Rs 1,00,000 / 6% risk (shipped)",100000.0,6.0,exit_reason,DAYLIGHT,23,87.0,285661.57
"Rs 1,00,000 / 6% risk (shipped)",100000.0,6.0,exit_reason,INVALIDATION,1,0.0,-3943.63
"Rs 1,00,000 / 6% risk (shipped)",100000.0,6.0,exit_reason,STOP,106,0.0,-2975231.79
"Rs 1,00,000 / 6% risk (shipped)",100000.0,6.0,exit_reason,TARGET,282,100.0,11330822.13
"Rs 1,00,000 / 6% risk (shipped)",100000.0,6.0,exit_reason,THESIS_BROKEN,280,69.6,2009288.2
"Rs 50,000 / 30% risk",50000.0,30.0,index,BANKEX,85,63.5,1127253.27
"Rs 50,000 / 30% risk",50000.0,30.0,index,BANKNIFTY,45,73.3,1066367.74
"Rs 50,000 / 30% risk",50000.0,30.0,index,FINNIFTY,55,76.4,1118348.62
"Rs 50,000 / 30% risk",50000.0,30.0,index,NIFTY,273,75.5,8898272.43
"Rs 50,000 / 30% risk",50000.0,30.0,index,SENSEX,218,67.9,5030278.81
"Rs 50,000 / 30% risk",50000.0,30.0,protocol,ALPHA,515,71.7,13814458.17
"Rs 50,000 / 30% risk",50000.0,30.0,protocol,BETA,72,73.6,1660539.42
"Rs 50,000 / 30% risk",50000.0,30.0,protocol,GAMMA,89,68.5,1765523.28
"Rs 50,000 / 30% risk",50000.0,30.0,exit_reason,DAYLIGHT,22,86.4,470637.36
"Rs 50,000 / 30% risk",50000.0,30.0,exit_reason,INVALIDATION,1,0.0,-6541.24
"Rs 50,000 / 30% risk",50000.0,30.0,exit_reason,STOP,104,0.0,-5119112.43
"Rs 50,000 / 30% risk",50000.0,30.0,exit_reason,TARGET,273,100.0,18472947.81
"Rs 50,000 / 30% risk",50000.0,30.0,exit_reason,THESIS_BROKEN,276,69.2,3422589.36
"Rs 25,000 / 60% risk",25000.0,60.0,index,BANKEX,86,64.0,577550.2
"Rs 25,000 / 60% risk",25000.0,60.0,index,BANKNIFTY,43,72.1,463628.57
"Rs 25,000 / 60% risk",25000.0,60.0,index,FINNIFTY,55,76.4,551992.55
"Rs 25,000 / 60% risk",25000.0,60.0,index,NIFTY,270,75.2,4301140.51
"Rs 25,000 / 60% risk",25000.0,60.0,index,SENSEX,218,67.9,2462225.07
"Rs 25,000 / 60% risk",25000.0,60.0,protocol,ALPHA,510,71.4,6671730.21
"Rs 25,000 / 60% risk",25000.0,60.0,protocol,BETA,73,74.0,822315.14
"Rs 25,000 / 60% risk",25000.0,60.0,protocol,GAMMA,89,68.5,862491.56
"Rs 25,000 / 60% risk",25000.0,60.0,exit_reason,DAYLIGHT,22,86.4,225247.67
"Rs 25,000 / 60% risk",25000.0,60.0,exit_reason,INVALIDATION,1,0.0,-3294.22
"Rs 25,000 / 60% risk",25000.0,60.0,exit_reason,STOP,105,0.0,-2520179.58
"Rs 25,000 / 60% risk",25000.0,60.0,exit_reason,TARGET,268,100.0,9012461.17
"Rs 25,000 / 60% risk",25000.0,60.0,exit_reason,THESIS_BROKEN,276,69.6,1642301.88
