split,day,underlying,protocol,opt,strike,lots,entry,stop,target,exit_price,action,entry_charge,exit_charge,net
train,2025-02-11,SENSEX,ALPHA,CE,76800.0,5,286.31,214.73,393.67,264.57,THESIS_BROKEN,35.48,73.47,-2282.7
train,2025-02-12,NIFTY,GAMMA,PE,23100.0,2,129.89,97.42,178.6,150.1,THESIS_BROKEN,32.37,66.83,2931.96
train,2025-02-17,SENSEX,ALPHA,CE,75400.0,3,474.94,356.2,653.04,550.04,THESIS_BROKEN,35.41,85.8,4384.79
train,2025-02-18,SENSEX,ALPHA,CE,75400.0,5,283.49,212.62,389.8,327.55,THESIS_BROKEN,35.35,85.33,4285.52
train,2025-02-18,SENSEX,GAMMA,PE,76000.0,6,274.08,205.56,376.85,374.97,TARGET,37.24,108.39,11961.68
train,2025-02-18,NIFTY,ALPHA,CE,22800.0,3,177.76,133.32,244.42,243.2,TARGET,41.62,128.68,14553.23
train,2025-02-19,NIFTY,BETA,CE,22850.0,4,168.39,126.29,231.53,168.01,THESIS_BROKEN,46.36,120.39,-281.42
train,2025-02-19,NIFTY,BETA,CE,22850.0,4,163.15,122.36,224.33,223.21,TARGET,45.65,152.2,17820.25
train,2025-02-24,BANKNIFTY,GAMMA,PE,48700.0,11,352.22,264.17,484.3,424.77,THESIS_BROKEN,49.78,158.19,11762.04
train,2025-02-24,BANKEX,BETA,CE,55100.0,5,412.02,309.01,566.52,427.8,THESIS_BROKEN,49.23,144.55,2173.86
train,2025-02-24,SENSEX,ALPHA,CE,74300.0,7,474.58,355.94,652.55,488.15,THESIS_BROKEN,51.15,152.4,1695.27
train,2025-02-24,BANKEX,ALPHA,PE,55600.0,9,257.53,193.15,354.11,234.32,THESIS_BROKEN,52.44,142.83,-6461.83
train,2025-02-24,BANKNIFTY,ALPHA,CE,48300.0,10,443.87,332.9,610.32,552.72,THESIS_BROKEN,53.59,182.81,16091.18
train,2025-02-24,SENSEX,GAMMA,PE,74700.0,15,256.78,192.59,353.08,251.24,THESIS_BROKEN,55.55,165.66,-1885.16
train,2025-02-25,SENSEX,ALPHA,CE,74400.0,14,256.26,192.19,352.35,350.59,TARGET,53.35,208.61,26151.63
train,2025-02-27,NIFTY,ALPHA,CE,22400.0,10,121.62,91.21,167.22,166.39,TARGET,64.69,263.23,33249.5
train,2025-02-27,BANKNIFTY,ALPHA,CE,48700.0,42,174.86,131.14,240.43,130.49,STOP,73.21,181.47,-28207.6
train,2025-03-04,BANKEX,ALPHA,PE,55000.0,4,692.3,519.22,951.91,692.82,DAYLIGHT,58.04,180.29,-175.63
train,2025-03-03,NIFTY,ALPHA,CE,21900.0,6,195.62,146.72,268.98,231.34,THESIS_BROKEN,63.26,223.52,15784.29
train,2025-03-03,NIFTY,BETA,CE,22000.0,7,189.24,141.93,260.21,258.91,TARGET,68.35,284.65,36221.36
train,2025-03-03,NIFTY,BETA,CE,22000.0,9,176.0,132.0,242.0,214.92,THESIS_BROKEN,77.11,302.21,25891.68
train,2025-03-04,SENSEX,ALPHA,PE,73100.0,30,234.96,176.22,323.07,175.34,STOP,82.06,221.88,-36076.6
train,2025-03-04,SENSEX,ALPHA,PE,73100.0,27,214.41,160.81,294.82,160.0,STOP,71.61,186.44,-29637.85
train,2025-03-05,NIFTY,BETA,CE,22250.0,10,127.91,95.93,175.87,136.56,THESIS_BROKEN,66.81,220.29,6204.71
train,2025-03-07,SENSEX,GAMMA,PE,74600.0,13,388.08,291.06,533.61,458.25,THESIS_BROKEN,65.44,248.15,17929.9
train,2025-03-10,SENSEX,GAMMA,PE,74700.0,20,287.1,215.33,394.76,392.79,TARGET,71.22,319.71,41884.55
